PL_SN_MAP_ID,IOM_SN,MESSAGE,PL,SN,UPLOAD_DATE
269,ABT098,Carrier Did Not Pass - Decapper Divert Gate,740,ABT098,08/05/2019
270,ABT099,Carrier Did Not Pass - Decapper Divert Gate,740,ABT099,08/05/2019
271,ABT100,Carrier Did Not Pass - Decapper Divert Gate,740,ABT100,08/05/2019
272,ABT101,Carrier Did Not Pass - Decapper Divert Gate,740,ABT101,08/05/2019
273,ABT102,Carrier Did Not Pass - Decapper Divert Gate,740,ABT102,08/05/2019
274,ABT104,Carrier Did Not Pass - Decapper Divert Gate,740,ABT104,08/05/2019
275,ABT105,Carrier Did Not Pass - Decapper Divert Gate,740,ABT105,08/05/2019
276,ABT106,Carrier Did Not Pass - Decapper Divert Gate,740,ABT10606,08/05/2019
277,ABT107,Carrier Did Not Pass - Decapper Divert Gate,740,ABT107,08/05/2019
278,ABT108,Carrier Did Not Pass - Decapper Divert Gate,740,ABT108,08/05/2019
279,ABT109,Carrier Did Not Pass - Decapper Divert Gate,740,ABT109,08/05/2019
280,ABT110,Carrier Did Not Pass - Decapper Divert Gate,740,ABT110,08/05/2019
281,ABT111,Carrier Did Not Pass - Decapper Divert Gate,740,ABT111,08/05/2019
282,ABT112,Carrier Did Not Pass - Decapper Divert Gate,740,ABT112,08/05/2019
283,ABT113,Carrier Did Not Pass - Decapper Divert Gate,740,ABT113,08/05/2019
284,ABT114,Carrier Did Not Pass - Decapper Divert Gate,740,ABT114,08/05/2019
285,ABT116,Carrier Did Not Pass - Decapper Divert Gate,740,ABT116,08/05/2019
286,ABT117,Carrier Did Not Pass - Decapper Divert Gate,740,ABT117,08/05/2019
287,ABT118,Carrier Did Not Pass - Decapper Divert Gate,740,ABT118,08/05/2019
288,ABT119,Carrier Did Not Pass - Decapper Divert Gate,740,ABT119,08/05/2019
289,ABT120,Carrier Did Not Pass - Decapper Divert Gate,740,ABT120,08/05/2019
290,ABT121,Carrier Did Not Pass - Decapper Divert Gate,740,ABT121,08/05/2019
291,ABT123,Carrier Did Not Pass - Decapper Divert Gate,740,ABT123,08/05/2019
292,ABT124,Carrier Did Not Pass - Decapper Divert Gate,740,ABT124,08/05/2019
293,ABT125,Carrier Did Not Pass - Decapper Divert Gate,740,ABT125,08/05/2019
294,ABT126,Carrier Did Not Pass - Decapper Divert Gate,740,ABT126,08/05/2019
295,ABT127,Carrier Did Not Pass - Decapper Divert Gate,740,ABT127,08/05/2019
296,ABT128,Carrier Did Not Pass - Decapper Divert Gate,740,ABT128,08/05/2019
297,ABT129,Carrier Did Not Pass - Decapper Divert Gate,740,ABT129,08/05/2019
298,ABT130,Carrier Did Not Pass - Decapper Divert Gate,740,ABT130,08/05/2019
299,ABT131,Carrier Did Not Pass - Decapper Divert Gate,740,ABT131,08/05/2019
300,ABT132,Carrier Did Not Pass - Decapper Divert Gate,740,ABT132,08/05/2019
301,ABT133,Carrier Did Not Pass - Decapper Divert Gate,740,ABT133,08/05/2019
302,ABT134,Carrier Did Not Pass - Decapper Divert Gate,740,ABT134,08/05/2019
303,ABT135,Carrier Did Not Pass - Decapper Divert Gate,740,ABT135,08/05/2019
304,ABT136,Carrier Did Not Pass - Decapper Divert Gate,740,ABT136,08/05/2019
