COUNTRY,CITY,CUSTOMER,SN,WZPROBE,FLAGDATE,FLAGA,FLAGB,FLAGC
"SOUTH KOREA","Incheon","????????? ?????? ?????","ISR06889","1.3",6/30/2019 9:45:39 PM,"YES","NO","NO"
"INDIA","PATNA","THYROCARE TECHNOLOGES ","ISR04811","1.3",6/30/2019 12:17:50 AM,"NO","NO","YES"
"CHINA","??","??????????(???????????","ISR52641","2.1",6/30/2019 2:23:52 PM,"NO","NO","YES"
"INDIA","NAVI MUMBAI MAHARASHTRA","THYROCARE TECHNOLOGES ","ISR02657","1.2",6/30/2019 12:01:46 AM,"YES","NO","NO"
"SAUDI ARABIA","Khamis Mushait","AL BORG LAB KHAMIS MUS","I1SR51831","1.2",6/30/2019 12:07:55 PM,"NO","NO","YES"
"CHINA","???","????????????","ISR62100","2.1",6/30/2019 9:23:35 AM,"NO","NO","YES"
"CHINA","??","??????????","ISR52549","2.1",6/30/2019 11:26:46 AM,"NO","NO","YES"
"AUSTRALIA","MURDOCH","FIONA STANLEY HOSPITAL","ISR60613","2.3",6/30/2019 5:11:40 PM,"YES","NO","NO"
"CHINA","??","??????????????","ISR51435","1.1",6/30/2019 8:02:24 AM,"NO","NO","YES"
"CHINA","???","???????????","ISR62172","1.1",6/30/2019 10:50:35 AM,"NO","NO","YES"
"CHINA","???","??????","ISR52656","2.1",6/30/2019 9:08:04 AM,"NO","NO","YES"
"JAPAN","???","?????? ?????????????","ISR62893","2.1",6/30/2019 3:19:15 PM,"NO","NO","YES"
"USA","Boston","TUFTS MEDICAL CENTER","ISR51591","2.2",6/30/2019 2:58:41 AM,"YES","NO","NO"
"SAUDI ARABIA","JIZAN","SGH-17/MOH/TRANSFUSION","ISR53504","1.1",6/30/2019 2:44:32 PM,"NO","NO","YES"
"CHINA","??","??????????","ISR52385","1.1",6/30/2019 8:58:41 AM,"NO","NO","YES"
"CHINA","???","???????????","ISR55400","1.1",6/30/2019 10:32:48 AM,"NO","NO","YES"
"CHINA","???","????????","ISR62780","2.1",6/30/2019 4:07:02 PM,"NO","NO","YES"
"SAUDI ARABIA","Dammam","KING FAHAD SPECIALIST ","ISR53029","2.1",6/30/2019 9:43:40 AM,"NO","NO","YES"
"CHINA","????","???????????????","I1SR03615","1.1",6/30/2019 9:00:36 AM,"YES","NO","YES"
"SOUTH KOREA","?????","????","ISR52877","2.2",6/30/2019 12:53:24 PM,"NO","NO","YES"
"BRAZIL","SAO PAULO - SP","AFIP","ISR54577","2.1",6/30/2019 4:55:52 PM,"NO","NO","YES"
"CHINA","???","???????????????","ISR50811","1.1",6/30/2019 6:41:33 PM,"NO","NO","YES"
"CHINA","?????","?????????","ISR62783","1.1",6/30/2019 10:38:39 AM,"NO","NO","YES"
"BRAZIL","SAO PAULO - SP","AFIP","ISR54821","2.1",6/30/2019 2:49:39 PM,"NO","NO","YES"
"USA","SAINT PAUL","UNITED HOSPITAL","ISR50299","2.2",6/30/2019 1:05:19 AM,"YES","NO","NO"
"CHINA","???","???????","ISR53697","1.1",6/30/2019 11:15:05 AM,"NO","NO","YES"
"JAPAN","???","?????? ?????????????","ISR62893","1.3",6/30/2019 4:17:02 PM,"NO","NO","YES"
"JAPAN","???","?????? ?????????????","ISR62895","2.1",6/30/2019 6:05:38 PM,"NO","NO","YES"
"JAPAN","???","??????·??·??","ISR54450","2.1",6/30/2019 4:26:41 AM,"NO","NO","YES"
"GERMANY","Jena","KLINIKUM D. FRIEDRICH-","ISR52467","2.3",6/30/2019 12:40:33 AM,"YES","NO","NO"
"CHINA","???","??????????","ISR63567","2.1",6/30/2019 10:35:10 AM,"NO","NO","YES"
"JAPAN","???","????QOL??????????????","ISR50416","1.3",6/30/2019 12:01:45 AM,"YES","NO","NO"
"UAE","DUBAI","GOVERNMENT OF DUBAI","ISR54775","1.2",6/30/2019 12:10:42 AM,"YES","NO","YES"
"USA","BRENHAM","SCOTT AND WHITE HOSPIT","I1SR53657","1.3",6/30/2019 9:35:25 AM,"YES","NO","NO"
"BRAZIL","RECIFE","FUND HEMAT HEMOT PERNA","ISR06106","2.2",6/30/2019 10:25:26 AM,"NO","NO","YES"
"INDIA","LUCKNOW","KING GEORGE MEDICAL UN","ISR60484","2.3",6/30/2019 11:05:12 AM,"YES","NO","YES"
"SOUTH KOREA","null","???? ?????? ???????","ISR02520","2.1",6/30/2019 12:02:02 AM,"YES","NO","NO"
"CHINA","???","??????????","ISR61918","1.1",6/30/2019 10:59:15 AM,"NO","NO","YES"
"USA","SAVANNAH","MEMORIAL UNIV MEDICAL ","I1SR02222","1.2",6/30/2019 3:54:19 AM,"YES","NO","NO"
"CHINA","????","????????????????","ISR54036","1.2",6/30/2019 2:50:39 PM,"YES","NO","YES"
"THAILAND","AYUTAYA","PRANAKORNSRI AYUTTHAYA","ISR06283","1.3",6/30/2019 7:36:17 AM,"YES","NO","NO"
"CHINA","???","?????????","ISR61554","2.3",6/30/2019 10:52:10 AM,"YES","NO","NO"
"CHINA","??","?????????? ???????????","ISR08277","1.1",6/30/2019 12:42:37 PM,"NO","NO","YES"
"VIETNAM","Bien Hoa","Dong Nai General Hospi","ISR56032","2.1",6/30/2019 12:06:44 PM,"NO","NO","YES"
"CHINA","??","????????????","ISR07932","2.2",6/30/2019 8:58:23 AM,"YES","NO","NO"
"CHINA","???","??????????????????????","ISR55963","1.1",6/30/2019 11:04:56 AM,"NO","NO","YES"
"INDIA","BANGLORE, KARNATAKA","CLUMAX DIAGNOSTICS & R","ISR51792","1.2",6/30/2019 6:46:23 AM,"YES","NO","NO"
"CHINA","???","?????????","ISR54523","1.1",6/30/2019 10:42:29 AM,"NO","NO","YES"
"CHINA","????","????????","ISR50171","1.1",6/30/2019 9:38:50 AM,"NO","NO","YES"
"CHINA","???","???????????????","ISR55094","2.3",6/30/2019 9:29:36 AM,"YES","NO","NO"
"CHINA","??","??????","ISR50702","2.2",6/30/2019 9:32:52 AM,"NO","NO","YES"
"CHINA","???","???????????????","ISR62797","2.1",6/30/2019 8:01:29 PM,"NO","NO","YES"
"CHINA","??","???????????????","ISR62926","2.1",6/30/2019 1:27:05 AM,"NO","NO","YES"
"CHINA","???","???????????????","ISR51913","2.1",6/30/2019 6:14:46 PM,"NO","NO","YES"
"CHINA","?????","?????????","ISR62785","1.1",6/30/2019 9:15:08 AM,"NO","NO","YES"
